pctile	quality1	quality2	quality3	quality4	qualityALL
p1	940	533	511	435	2419
p5	940	533	511	435	2419
p10	940	533	511	435	2419
p15	940	533	511	435	2419
p20	940	533	511	435	2419
p25	940	533	511	435	2419
p30	940	533	511	435	2419
p35	940	533	511	435	2419
p40	940	533	511	435	2419
p45	940	533	511	435	2419
p50	940	533	511	435	2419
p55	940	533	511	435	2419
p60	940	533	511	435	2419
p65	940	533	511	435	2419
p70	940	533	511	435	2419
p75	940	533	511	435	2419
p80	940	533	511	435	2419
p85	940	533	511	435	2419
p90	940	533	511	435	2419
p95	940	533	511	435	2419
p99	940	533	511	435	2419
