pctile	quality1	quality2	quality3	quality4	qualityALL
p1	523	301	291	258	1373
p5	523	301	291	258	1373
p10	523	301	291	258	1373
p15	523	301	291	258	1373
p20	523	301	291	258	1373
p25	523	301	291	258	1373
p30	523	301	291	258	1373
p35	523	301	291	258	1373
p40	523	301	291	258	1373
p45	523	301	291	258	1373
p50	523	301	291	258	1373
p55	523	301	291	258	1373
p60	523	301	291	258	1373
p65	523	301	291	258	1373
p70	523	301	291	258	1373
p75	523	301	291	258	1373
p80	523	301	291	258	1373
p85	523	301	291	258	1373
p90	523	301	291	258	1373
p95	523	301	291	258	1373
p99	523	301	291	258	1373
